PESTICIDE FORMULATIONS REGISTERED FOR USE IN THE COUNTRY
UNDER THE INSECTICIDES ACT, 1968
                                                          (Updated on 31.03.2026)
                             FORMULATIONS OF PESTICIDES
S. No.   Formulation registered
                                       A. INSECTICIDES
1        Abamectin 1.9% EC
2        Acephate 75% SP
3        Acephate 95% SG
4        Acephate 97% DF
5        Acetamiprid 20% SP
6        Acequinocyl 15 % SC
7        Afidopyropen 50 g/LDC
8        Allerthrin 0.02% Coil
9        Allerthrin 0.05% Coil
10       Allerthrin 0.2% Coil
11       Allerthrin 0.5% Aerosol
12       Allerthrin 0.5% Coil
13       Allerthrin 3.6% LV
14       Allerthrin 4%Mat
15       Alphacypermethrin 0.1% RTU
16       Alphacypermethrin 0.5% Chalk
17       Alphacypermethrin 0.667% LLIN
18       Alphacypermethrin 05% WP
19       Alphacypermethrin10.00% EC
20       Alphacypermethrin10.00% SC
21       Aluminiumphosphide15% Tab (12gm)
22       Aluminium phosphide 56% Powder
23       Aluminium phosphide 56% Tab
24       Aluminium phosphide 6% Tab
25       Aluminium phosphide 77.5%GR
26       Barium Carbonate 1%P
27       Benfuracarb 03% GR
28       Benfuracarb 40% EC
29       Benzoate00.10 %w/w Gel
30       Benzpyrimoxan10% SC
31       Beta-cyfluthrin 02.45% SC
32       Bifenazate 22.60% SC
33       Bifenazate 50 % WP
34       Bifenthrin 0.05% MC(8hrs)
35       Bifenthrin 02.50% EC
36       Bifenthrin 08% SC
37       Bifenthrin 08.80% CS
38       Bifenthrin 10% EC
39   Bifenthrin 10% WP
40   Bistrifluron 1% Bait
41   Brodifacoum 0.005 %w/w BB
42   Broflanilide 20% SC
43   Broflanilide 300 g/l SC
44   Bromadiolone 00.005% RB
45   Bromadiolone 00.25% CB
46   Buprofezin 25% SC
47   Buprofezin 70% DF
48   Carbofuran 03% CG
49   Carbosulfan 06% Granules
50   Carbosulfan 25% DS
51   Carbosulfan 25% EC
52   Cartap Hydrochloride 04% Granules
53   Cartap Hydrochloride 50% SP
54   Cartap Hydrochloride 75% SG
55   Chlorantraniliprole 0.40% GR
56   Chlorantraniliprole 0.53% w/w GR
57   Chlorantraniliprole 18.50% SC
58   Chlorantraniliprole 35% WG
59   Chlorantraniliprole 47.85% w/w SC
60   Chlorantraniliprole 50% FS
61   Chlorfenapyr 10 % SC
62   Chlorfenapyr 240 g/l SC
63   Chlorfluazuron 05.40%EC
64   Chlorpyrifos 01.50% DP
65   Chlorpyrifos 10% Granules
66   Chlorpyrifos 20% EC
67   Chlorpyrifos 50% EC
68   Chlorpyriphos 02 %w/w EC
69   Chlorpyriphos 75 %w/w WG
70   Chlorpyrifos 19% ME
71   Chlorpyriphos Methyl 40%EC
72   Chromafenozide 80%WP
73   Clothianidin 0.5% GR
74   Clothianidin 50% WDG
75   Coumatetralyl 0.037% Bait
76   Coumatetralyl 0.75% Gel
77   Cyantraniliprole 10.26% OD
78   Cyantraniliprole 28.30% OD
79   Cyantraniliprole 18.41% w/w SC
80   Cyantraniliprole 48% w/w FS (Cyantraniliprole 60% w/v FS) (Cyantraniliprole 600 g/l FS)
81   Cyclaniliprole 100 DC
82   Cyclaniliprole 7.4 % SL
83   Cyenopyrafen 30% SC
84    Cyflumetofen 20% SC
85    Cyfluthrin 05% EW
86    Cyfluthrin 10% WP
87    Cypermethrin 0.1% Aqueous
88    Cypermethrin 0.25% DP
89    Cypermethrin 03% Smoke Generator
90    Cypermethrin 1% Chalk
91    Cypermethrin 1% Dust
92    Cypermethrin 10% EC
93    Cypermethrin 25% EC
94    Cyphenothrin 7.2% VP w/w (For use by pest control operators only)
95    DDT 50% WP
96    DDT 75% WP
97    Deltamethrin 00.50% w/w Chalk
98    Deltamethrin 1.0 % SB Anti Insect Enamel
99    Deltamethrin 01 % RTU
100   Deltamethrin 01.25% w/w (01.00% w/v) EC
101   Deltamethrin 01.80% EC
102   Deltamethrin 02.50%Flow
103   Deltamethrin 02.50% WP
104   Deltamethrin 02.80% EC
105   Deltamethrin 1.25% ULV
106   Deltamethrin 11%w/w EC
107   Deltamethrin 25 % Tablet
108   Deltamethrin 55% mg/m2 (impregnated bed net)
109   Deltamethrin 25% WG
110   Diafenthiuron 47.80% SC
111   Diafenthiuron 50% WP
112   Diflubenzuron 0.1% w/w Termite bait
113   Diflubenzuron 02% GR
114   Diflubenzuron 02% Tablets
115   Diflubenzuron 25% WP
116   Dimethoate 30% EC
117   Dimpropyridaz 120 g/L SL
118   Dinotefuran 0.5% RB Gel
119   Dinotefuran 20% SG
120   Dinotefuran 70% WG
121   D-transallethrin 0.1% Coil
122   D-transallethrin 2% Mat
123   D-transallethrin 21.97% Mos.Mat
